URN,EstablishmentName,StudentsAchievingGrade5PlusEngMathRate,borda_rank,borda_points_total,NumberOfPupils,PercentOfStudentReceivingFreeSchoolMeals,UrbanRuralClassification,GOR,LA (code),LA (name),LSOA (code),MSOA (code),Postcode,longitude,latitude,Easting,Northing
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
131062.0,The Petchey Academy,44.0,80.0,9815.0,168.0,58.0,Urban: Nearer to a major town or city,London,204,Hackney,E01001747,E02000358,E8 2EY,-0.0717325053899596,51.55166230537602,533788.0,185403.0
134225.0,Harris Academy Peckham,16.0,81.0,9810.0,157.0,57.0,Urban: Nearer to a major town or city,London,210,Southwark,E01004066,E02000831,SE15 5DZ,-0.0741275838796775,51.47272789694099,533853.0,176621.0
134226.0,Capital City Academy,36.0,82.0,9804.0,187.0,49.0,Urban: Nearer to a major town or city,London,304,Brent,E01000643,E02000116,NW10 3ST,-0.2347525847674759,51.53909454661011,522520.0,183720.0
101814.0,St Mary's Catholic High School,31.0,83.0,9797.0,129.0,54.0,Urban: Nearer to a major town or city,London,306,Croydon,E01034141,E02000213,CR9 2EE,-0.0980004762147475,51.3806180300427,532461.0,166335.0
136750.0,West London Free School,58.0,84.0,9796.0,119.0,40.0,Urban: Nearer to a major town or city,London,205,Hammersmith and Fulham,E01001932,E02000382,W6 9LP,-0.2378209084847088,51.49252301861017,522432.0,178536.0
100627.0,Saint Gabriel's College,29.0,85.0,9795.0,93.0,60.0,Urban: Nearer to a major town or city,London,208,Lambeth,E01003180,E02000622,SW9 6UL,-0.1023884012406429,51.47597663191152,531881.0,176931.0
144509.0,The City Academy Bristol,31.0,86.0,9793.0,122.0,80.0,Urban: Nearer to a major town or city,South West,801,"Bristol, City of",E01014564,E02006888,BS5 9JH,-2.561608355010645,51.46025172150135,361079.0,173625.0
137935.0,Sacred Heart High School,82.0,87.0,9785.0,158.0,16.0,Urban: Nearer to a major town or city,London,205,Hammersmith and Fulham,E01001898,E02000384,W6 7DG,-0.2233309454508003,51.493581394548066,523435.0,178678.0
143082.0,Bishop Douglass School Finchley,47.0,88.0,9784.0,107.0,48.0,Urban: Nearer to a major town or city,London,302,Barnet,E01000179,E02000052,N2 0SQ,-0.1784095146459066,51.59404086027763,526275.0,189926.0
136636.0,Parkside Community College,63.0,89.0,9783.0,120.0,17.0,Urban: Nearer to a major town or city,East of England,873,Cambridgeshire,E01035517,E02003725,CB1 1EH,0.1285425015754105,52.204446426991225,545550.0,258380.0
102787.0,St Bonaventure's RC School,47.0,90.0,9780.0,181.0,41.0,Urban: Nearer to a major town or city,London,316,Newham,E01003574,E02000730,E7 9QD,0.0247042874737236,51.53886859144168,540513.0,184161.0
139589.0,The Studio School Liverpool,32.0,90.0,9780.0,62.0,34.0,Urban: Nearer to a major town or city,North West,341,Liverpool,E01034403,E02001383,L1 0BS,-2.9786529293983905,53.39461476809947,335019.0,389087.0
